Date,High,result,Volume
1995-08-14,9.415064,3.437608,8170600
1995-08-15,9.435096000000001,3.437608,9302500
1995-08-16,9.435096000000001,3.4156199999999997,8966800
1995-08-17,9.354968,3.378971,11360500
1995-08-18,9.294871,3.356983,17629800
1995-08-21,9.334936,3.3716410000000003,10618600
1995-08-22,9.234776,3.3716410000000003,9985800
1995-08-23,9.234776,3.356983,10528100
1995-08-24,9.274839,3.3863,8130000
1995-08-25,9.395032,3.4229480000000003,8590600
1995-08-28,9.415064,3.4449379999999996,7423700
1995-08-29,9.455129,3.452267,8159400
1995-08-30,9.475161,3.459596,6994400
1995-08-31,9.455129,3.452267,8034600
1995-09-01,9.455129,3.4449379999999996,10792700
1995-09-05,9.455129,3.4449379999999996,10006400
1995-09-06,9.515224,3.481588,9665700
1995-09-07,9.515224,3.466928,8775300
1995-09-08,9.495192999999999,3.4449379999999996,7957800
1995-09-11,9.475161,3.452267,6027200
1995-09-12,9.615385,3.518235,23436100
1995-09-13,9.735577000000001,3.5548830000000002,17355300
1995-09-14,10.056089,3.6574989999999996,19279700
1995-09-15,10.236379,3.745455,32654500
1995-09-18,10.176282,3.6574989999999996,15062100
1995-09-19,9.995994,3.6355089999999994,14599100
1995-09-20,9.995994,3.6355089999999994,9851700
1995-09-21,9.995994,3.642839,11686200
1995-09-22,10.176282,3.694145,15847100
1995-09-25,10.35657,3.774773,12194200
1995-09-26,10.316506,3.7674440000000002,17130000
1995-09-27,10.256411,3.8778010000000003,15710400
1995-09-28,10.196314,3.862535,10084400
1995-09-29,10.276442999999999,3.893068,11142700
1995-10-02,10.296474,3.8778010000000003,10657900
1995-10-03,10.276442999999999,3.8549029999999997,14821200
1995-10-04,10.256411,3.8854349999999998,13438400
1995-10-05,10.196314,3.847265,10222300
1995-10-06,10.096153999999999,3.839635,15212400
1995-10-09,10.116186,3.839635,7812400
1995-10-10,10.076121,3.824368,14376300
1995-10-11,10.036057000000001,3.7938330000000002,12257200
1995-10-12,10.136218,3.839635,10088800
1995-10-13,10.216346000000001,3.847265,10949900
1995-10-16,10.15625,3.839635,6412200
1995-10-17,10.256411,3.9083370000000004,9185900
1995-10-18,10.336538000000001,3.923604,13075200
1995-10-19,10.456731,3.984671,12071200
1995-10-20,10.456731,3.946503,18653800
1995-10-23,10.316506,3.8778010000000003,10229200
1995-10-24,10.236379,3.847265,12374500
1995-10-25,10.196314,3.847265,13143300
1995-10-26,10.136218,3.816735,11367400
1995-10-27,10.016026,3.8014660000000005,11202000
1995-10-30,10.15625,3.8549029999999997,8133800
1995-10-31,10.256411,3.862535,9824800
1995-11-01,10.116186,3.8014660000000005,10432000
1995-11-02,10.236379,3.8778010000000003,9506000
1995-11-03,10.196314,3.8319989999999997,8784000
1995-11-06,10.116186,3.839635,8161200
1995-11-07,10.216346000000001,3.8778010000000003,8682900
1995-11-08,10.456731,3.9617699999999996,12857500
1995-11-09,10.456731,3.9694059999999998,14049900
1995-11-10,10.516827000000001,4.007569999999999,8475100
1995-11-13,10.516827000000001,4.007569999999999,10284100
1995-11-14,10.576922999999999,3.9999379999999998,11964500
1995-11-15,10.596955,4.030469999999999,13281200
1995-11-16,10.877403999999999,4.129706,14444900
1995-11-17,10.857371,4.091538,26991100
1995-11-20,10.73718,4.061005000000001,12502400
1995-11-21,10.817307000000001,4.114439,11491500
1995-11-22,10.797276,4.045739,10608000
1995-11-24,10.677083,4.030469999999999,4982600
1995-11-27,10.637019,3.9923040000000003,11611300
1995-11-28,10.777244,4.091538,15272400
1995-11-29,10.857371,4.129706,11829100
1995-11-30,10.917468,4.099172,10872500
1995-12-01,11.037661,4.190771,12403800
1995-12-04,11.177885,4.244208,15363500
1995-12-05,11.237981,4.267108,12996600
1995-12-06,11.438301,4.358709999999999,18637000
1995-12-07,11.418269,4.328176,11709900
1995-12-08,11.398237,4.297644,10943700
1995-12-11,11.458333,4.320543,12055600
1995-12-12,11.538461999999999,4.396877,11595700
1995-12-13,11.618589,4.396877,14661500
1995-12-14,11.598557000000001,4.358709999999999,13129500
1995-12-15,11.618589,4.419778,47725300
1995-12-18,11.71875,4.435047,22126400
1995-12-19,11.658653999999999,4.396877,20867800
1995-12-20,11.598557000000001,4.274744999999999,14586600
1995-12-21,11.338141,4.305275,15229900
1995-12-22,11.51843,4.373977,9043000
1995-12-26,11.578526,4.40451,6495800
1995-12-27,11.578526,4.5632980000000005,10508700
1995-12-28,11.558494,4.52355,9028000
1995-12-29,11.558494,4.579199,10120600
1996-01-02,11.798879,4.674599,16013700
1996-01-03,11.91907,4.682548000000001,19207900
1996-01-04,11.899038000000001,4.6269,19405700
1996-01-05,11.678686,4.63485,12090000
1996-01-08,11.798879,4.666647,4517100
1996-01-09,11.778846000000001,4.621928,14697600
1996-01-10,11.498398,4.47585,17325300
1996-01-11,11.358172999999999,4.483798,13384800
1996-01-12,11.398237,4.467896,14227200
1996-01-15,11.338141,4.467896,7904800
1996-01-16,11.378205,4.507649,12808200
1996-01-17,11.558494,4.539448,16951500
1996-01-18,11.638621,4.610997,16912800
1996-01-19,11.959135,4.722298,26246600
1996-01-22,12.039263,4.706397,14927300
1996-01-23,11.798879,4.642797,12853100
1996-01-24,11.879006,4.690498000000001,14082400
1996-01-25,12.059295,4.754099,13579400
1996-01-26,12.099359,4.801798000000001,12151100
1996-01-29,12.119391,4.762048,7425600
1996-01-30,12.139422999999999,4.801798000000001,19361400
1996-01-31,12.29968,4.881296,15706000
1996-02-01,12.359776,4.897197,12385100
1996-02-02,12.459936,4.905147,12481200
1996-02-05,12.540064,4.968749,10452600
1996-02-06,12.70032,5.032344999999999,14225900
1996-02-07,12.740385,4.984649,17271600
1996-02-08,12.760417,5.056198,18293800
1996-02-09,12.820513,5.048246,17635400
1996-02-12,12.800481,5.064147,13209400
1996-02-13,12.820513,5.072099,16345000
1996-02-14,12.820513,5.008496,14506700
1996-02-15,12.70032,4.960797,14554100
1996-02-16,12.560096000000001,4.928998,21948500
1996-02-20,12.459936,4.897197,13160700
1996-02-21,12.479968,4.952847,15030200
1996-02-22,12.840545,5.064147,16585900
1996-02-23,12.900641,5.072099,14005000
1996-02-26,12.760417,4.992597,11165200
1996-02-27,12.560096000000001,4.9448989999999995,17416400
1996-02-28,12.680288000000001,4.841547,18449100
1996-02-29,12.29968,4.801798000000001,17261000
1996-03-01,12.319711999999999,4.889246,14420000
1996-03-04,12.600161,5.145039,11034100
1996-03-05,12.560096000000001,5.1698129999999995,9250100
1996-03-06,12.620192999999999,5.145039,11535200
1996-03-07,12.520032,5.145039,10383300
1996-03-08,12.359776,4.938579,24519400
1996-03-11,12.279648,5.0542,24473900
1996-03-12,12.219551,4.955091,25160300
1996-03-13,12.079327000000001,4.930319,13824000
1996-03-14,12.179487,4.963353,15089500
1996-03-15,12.199519,5.004644,29659900
1996-03-18,12.5,5.145039,15801500
1996-03-19,12.640224,5.095487,12106200
1996-03-20,12.479968,5.103745,10786400
1996-03-21,12.459936,5.112006,8175000
1996-03-22,12.580129,5.178074,8298500
1996-03-25,12.720352,5.219367,12052500
1996-03-26,12.740385,5.219367,9479100
1996-03-27,12.740385,5.211108,9582100
1996-03-28,12.660256,5.1698129999999995,11839700
1996-03-29,12.560096000000001,5.145039,12694000
1996-04-01,12.740385,5.24414,12246000
1996-04-02,12.860577000000001,5.252399,18323700
1996-04-03,12.860577000000001,5.301951,10598000
1996-04-04,12.920672999999999,5.3102089999999995,11834100
1996-04-08,12.780449,5.26066,17135600
1996-04-09,12.760417,5.178074,14968500
1996-04-10,12.540064,5.062455,17916900
1996-04-11,12.279648,4.996387,26242900
1996-04-12,12.339744,5.078972,15158200
1996-04-15,12.560096000000001,5.1698129999999995,12368300
1996-04-16,12.540064,5.136782,13405300
1996-04-17,12.580129,5.1698129999999995,17186200
1996-04-18,12.740385,5.235882,13721100
1996-04-19,12.820513,5.227623,20731700
1996-04-22,12.820513,5.252399,10549900
1996-04-23,12.740385,5.24414,11252500
1996-04-24,12.760417,5.219367,9850400
1996-04-25,12.640224,5.153299,14308300
1996-04-26,12.600161,5.145039,11143300
1996-04-29,12.600161,5.128521,8203700
1996-04-30,12.419871,5.103745,14746900
1996-05-01,12.520032,5.145039,13364200
1996-05-02,12.479968,5.120265,12516100
1996-05-03,12.520032,5.087231,13988200
1996-05-06,12.439903999999999,5.037679,16143500
1996-05-07,12.219551,4.979871,16641400
1996-05-08,12.199519,5.021165,16617700
1996-05-09,12.359776,5.087231,12738900
1996-05-10,12.520032,5.136782,10683500
1996-05-13,12.580129,5.186332,13427200
1996-05-14,12.70032,5.211108,13020300
1996-05-15,12.720352,5.202848,8745300
1996-05-16,12.840545,5.277175,15454600
1996-05-17,13.141026,5.36802,22769100
1996-05-20,13.541667000000002,5.574481,22420900
1996-05-21,13.561698999999999,5.500155,20076500
1996-05-22,13.601763,5.607515,19961700
1996-05-23,13.721955,5.591,23039300
1996-05-24,13.661859,5.615773,11334300
1996-05-28,13.661859,5.467119,15585600
1996-05-29,13.371394,5.4340839999999995,11683700
1996-05-30,13.441506,5.500155,13475200
1996-05-31,13.321314000000001,5.467119,13667400
1996-06-03,13.28125,5.47538,9668200
1996-06-04,13.481570000000001,5.541449,12478100
1996-06-05,13.561698999999999,5.574481,10520600
1996-06-06,13.902244,5.698359,25881600
1996-06-07,13.802082999999998,5.673582,20804700
